Texto,Clasificacion
"Parte de lo que sí voy a hacer, no sé si pública o en corto, a quien vaya a entregarle, es dejarle un testimonio de lo que considero queda pendiente. Esto que estamos hablando, por ejemplo, del Poder Judicial. Me faltó ya va a ser muy difícil, desmantelar todo el gobierno paralelo que crearon para proteger las políticas neoliberales y otras cosas.",seguridad
"No, si el INE sigue como está, es un peligro para la democracia, lo vimos en la elección pasada, cómo quitaron candidatos sin fundamento legal. Al candidato de Michoacán lo quitaron porque supuestamente no comprobó 30 mil pesos, o los comprobó a destiempo.",competencia
"No, no, no, es mafia, claro que eso hay que cambiarlo, quitarlo, hay que reformarlo. En cambio, el señor de ayer estaba pensando en que lo opuesto, lo que buscamos es destruir el INE.",competencia
" Bueno, las dos cosas que planteas son muy buenas. A mí me gustaría dar respuesta, primero, a tu última reflexión. Eso es parte del pensamiento conservador, se afianzó mucho en el porfiriato, aunque viene de tiempo atrás, pero en el porfiriato se decía que era un asunto de la fortuna, de la suerte, que desde que existía el mundo había quienes tenían la suerte de salir adelante y otros, la mayoría, que no iban a poder salir adelante, es decir, que el que nace pobre muere pobre, el pensamiento conservador es eso.",opinion
"Nosotros pensamos distinto, nosotros pensamos que tiene que ver con oportunidades, y que tiene que ver con la movilidad social, que es responsabilidad del Estado o de los gobiernos, porque el más pobre, el hijo de un campesino, de un obrero, de un maestro, de un pequeño comerciante, con el estudio, con el trabajo, puede ascender en la escala social.",opinion
"¿Y cómo es de que se van los mexicanos por necesidad a buscarse la vida en Estados Unidos y allá mejoran sus condiciones económicas, y hoy nos envían casi 60 mil millones de dólares, envían a sus familias casi 60 mil millones de dólares, es la principal fuente de ingresos del país? ¿Qué demuestra esto?",opinion
"México ya es no sólo una potencia economía, México es de los países en la actualidad con mejor distribución del ingreso, con mejor distribución de la riqueza, es uno de los países con más felicidad, con más esperanza. Nos querían quitar hasta el derecho a la esperanza; no han podido, por eso es el coraje. Y tenemos que seguir adelante, ese es el pensamiento que tenemos que seguir enfrentando.",economia
"Y no enfrascarnos en discusiones que no nos van a llevar a nada. Es como se dice en mi tierra y en mi agua, cuando alguien está muy cerrado: Ya no hablemos, siga usted su camino, es muy difícil que nos entendamos. Ah, su hijo quién sabe, su hija, porque es una nueva generación, pero ya el caso de usted ya está muy avanzado. Y así nos pasa a todos.",economia
"Si hay un país en el mundo lamentablemente vinculado a fraudes es México, y eso es lo que tenemos que liquidar, acabar, y por eso es una de las cosas pendientes que van a quedar, una verdadera reforma democrática, porque la corrupción se gestó en México al amparo de la falta de democracia.",seguridad
"Pues yo tengo la experiencia de que devolvió impuestos. Ya hablamos aquí de un juicio, no sé si de Jumex o de El Valle, donde a esta empresa le devolvieron el IVA, esta empresa asesorada por Diego Fernández de Cevallos, y todo lo que le devolvieron lo recogieron del presupuesto de las participaciones federales a los estados. Como yo era jefe de gobierno, además de que protesté, pues me dolió mucho porque tuvimos que regresar dinero de las participaciones para que le entregaran a esta empresa su devolución del IVA.",economia
Yo no sé si entonces este señor era el director jurídico del SAT. Pero luego lo ponen de director de grandes contribuyentes del SAT.,economia
"Y luego, director del SAT en la época de los grandes contribuyentes y de las facturaciones falsas.",economia
"Imagínense la fuerza que tenía ese gremio que en la época de Salinas quitaron del Código Penal que la corrupción era delito grave, lo quitaron del Código Penal; es hasta ahora con nuestras reformas que ya es delito grave. Pero estos ministros regresaron, nos echaron para atrás el que la defraudación fiscal fuese delito grave con detención preventiva, lo echaron para atrás.",seguridad
" Pues que no vamos a poder, ya eso está podrido, o sea, eso nació para ser un parapeto, para simular de que hay transparencia en el país, o para eso lo crearon. Es un organismo del conservadurismo corrupto de México, ya no hay ni qué pensar que van a salir cosas buenas de ahí.",seguridad
"Ellos desde que nacieron con Fox lo primero que plantearon fue mantener el secreto tanto el fraude de Odebrecht, como precisamente la lista de todos los que recibieron apoyos en condonación de impuestos durante Fox, las dos cosas, y es el instituto de la transparencia.",competencia
"Pon a Carmen Aristegui, pon lo que puso del peso. Un experto, o sea, cómo no se van a cuidar en eso, son cuestiones elementales. Pero no estoy poniendo los enfados de Marín, el gruñón de Marín, con todo respeto, no, es Carmen Aristegui, para que vean qué nivel es sobre el peso, de cómo nos daña. O sea, el que no se devalúe el peso, el que esté fuerte el peso no nos ayuda, es lo que dice, según un experto. Y así es el periodismo del Reforma, Y claro, gentes como el señor del avión, pues desde luego que sí tienen razón, es correcto, o sea, ‘ya se me hacía que esto estaba mal, pero aquí viene un experto y me lo explica y ya me convencí’.",competencia
"Y por eso hablamos que neoliberalismo es neoporfirismo, esto ya se aplicó, esta política de entreguismo de apoyar a los de arriba, a las élites, se aplicó cuando Porfirio Díaz. Él era un dirigente popular, no tan vinculado al pueblo, pero sí venía de abajo y se propuso llegar al poder y entrar a la aristocracia de aquél entonces.",opinion
"Entonces, va a ser muy difícil que se encuentre algo de Porfirio Díaz a favor de los pobres. Yo lo he estudiado y casi no hay nada, lo que hay es la justificación de la esclavitud, de decir: ‘Ni modo, es muy doloroso, pero se necesita’ o ‘es muy doloroso aplicar la leva —es decir, obligar a los jóvenes, a las personas a formar parte, por la fuerza, del Ejército—, pero hay que hacerlo’.",opinion
"Bueno, pues hoy martes, como lo hacemos cada 15 días, se va a informar sobre seguridad. Vamos a presentar un informe amplio de toda la labor que se lleva a cabo para garantizar la paz, la tranquilidad en el país; sobre todo, garantizar la tranquilidad y proteger a los mexicanos.",seguridad
"Quiero expresar mi satisfacción, porque se va avanzando en este asunto tan delicado y al mismo tiempo tan importante, el de garantizar la paz y la tranquilidad en nuestro país. Estamos trabajando todos los días, es el gabinete que más se reúne de todo el gobierno, es con el que más me reúno, diario.",seguridad
"Y quiero aprovechar para agradecer el apoyo de todos los integrantes del Gabinete de Seguridad. No están todos, pero agradecer a Rosa Icela Rodríguez, secretaria de Seguridad; al almirante José Rafael Ojeda Durán, secretario de Marina; al general Luis Cresencio Sandoval González, secretario de la Defensa.",seguridad
"Uno de los avances importantes en la estrategia es el que trabajamos de manera coordinada. Hay muchas otras acciones que han dado resultado, desde luego lo principal es no olvidar que la paz es fruto de la justicia. Atender a los jóvenes, atender a la gente que más lo necesita para que se detenga el empobrecimiento del pueblo, que no haya frustración, que se pueda salir adelante con trabajo honrado y que se pueda ser feliz en el país sin caer en el camino de las conductas antisociales, esa es la base de todo.",seguridad
"Por eso, como nunca se está invirtiendo en desarrollo económico y social; como nunca se está apoyando al pueblo; y, como nunca, se está dando atención a los jóvenes. Esa es la base.",economia
"Pero también ayuda mucho el que trabajemos unidos y que haya profesionalismo, que no haya corrupción, que no haya impunidad, todo eso es lo que nos ha permitido enfrentar este complejo asunto de la inseguridad y la violencia. Pero van a ver ahora los resultados, van a escuchar cómo hemos avanzado, y le damos la palabra a la secretaria de Seguridad y Protección Ciudadana.",seguridad
"Eso no lo van a aceptar nunca nuestros adversarios, pero es la verdad. Nosotros no imponemos nada en la Corte y es tan evidente, aunque no lo quieran aceptar, que la presidenta Norma Piña siempre ha votado en contra de las iniciativas que nosotros hemos defendido. Es único el momento que estamos viviendo, nadie puede decir que hay subordinación, como era antes, de los poderes al Ejecutivo.",competencia
"Durante décadas el poder de los poderes era el Ejecutivo. El Poder Legislativo y el Poder Judicial eran apéndices, estaban subordinados, desde la Presidencia se daban órdenes, y eso ya se terminó. Por eso sí estamos en la Cuarta Transformación de la vida pública del país. Y me da mucho gusto que esto esté sucediendo en México, porque es para bien, para que haya un auténtico Estado de derecho, no como antes, que era un Estado de chueco.",competencia
"Y ojalá y de manera independiente, autónoma, se lleve a cabo una reforma en el Poder Judicial, que urge, por la corrupción que impera. Hay que seguir limpiando todo el gobierno, los tres poderes, purificando la vida pública. Y que cada vez se respete más al pueblo, se atienda más al pueblo, que las instituciones no estén al servicio de minorías rapaces, que no estén al servicio de la corrupción, al servicio del dinero.",competencia
"El lunes próximo viene el presidente Biden, vamos a recibir al presidente Biden y al primer ministro Trudeau. Nos da mucho gusto que estén estos dos mandatarios de pueblos hermanos, vecinos, con nosotros. Se va a llevar a cabo una cumbre de los tres países de América del Norte y vamos a tener, también se van a realizar reuniones bilaterales, tanto con el presidente Biden como con el primer ministro Trudeau.",exterior
"El presidente Biden va a estar con nosotros el lunes. Está por definirse la agenda; desde luego, lo más relevante es el tiempo que vamos a destinar a tratar asuntos de interés, tanto para Estados Unidos, como para México y lo mismo en el caso de Canadá con asuntos de nuestro país. Entonces, es lunes, martes, miércoles.",exterior
"Luego, tenemos trabajo jueves, viernes. Vamos a hacer una visita a Oaxaca, vamos a ver unos caminos que estamos construyendo, tanto caminos artesanales como carreteras que queremos ir a supervisar, y también el avance de las obras que se están realizando en Oaxaca para mejorar la situación de los caminos y de la infraestructura que se afectaron con el pasado huracán.",apoyo
"Posteriormente, vamos a seguir recorriendo el país y yo espero que estemos en Sonora a finales del mes o a principios de febrero. Vamos a estar allá, que tenemos también muchos temas pendientes, obras en proceso:",apoyo
"Y vamos también a evaluar qué han hecho los presidentes municipales de la sierra, que les entregamos sus presupuestos para mejorar los caminos. Y tenemos que ir a Sonora a ver cómo vamos con el Plan Sonora, cómo vamos con lo del litio, cómo vamos con la construcción de la planta solar, que va a ser la más grande e importante de América Latina que se está haciendo en Puerto Peñasco, en fin, tenemos muchas cosas, a ver si nos alcanza el fin de semana.",apoyo
"Yo les comentaba ayer que, como nunca, hay inversión pública en el país. Ya no había inversión pública, todo eran concesiones, autopistas concesionadas, hospitales concesionados, reclusorios concesionados. Era una oficina el gobierno para entregar concesiones y facilitar las transas, para decirlo coloquialmente.",apoyo
"Ahora no, ahora el presupuesto está llegando de manera directa a la gente y se está usando para obras de infraestructura que antes se concesionaban, ahora se realizan esas obras con presupuesto público. Por eso no se cobra en las carreteras que se están realizando, porque también tenemos la filosofía, la concepción de que ya el ciudadano contribuye, como se dice comúnmente, paga impuestos —que no deben de ser impuestos, deben de ser contribuciones, pero, bueno— ya se paga el impuesto y además de que se paga el impuesto para usar un servicio hay que pagar otro impuesto, eso es indebido.",apoyo
"Estamos construyendo un puente de 10 kilómetros para comunicar a Cancún, la población con la zona hotelera, que ya se convirtió en un problema vial serio, la zona hotelera; ya hasta por cuestiones de seguridad, de protección civil hacía falta un puente, una salida de la zona hotelera a Cancún, al territorio. Bueno, es un puente como de 10, 12 kilómetros sobre la laguna, con un costo estimado también de 10, 12 mil millones de pesos. Ya estaba el proyecto para hacer el puente, pero de paga, cobrando, dijimos: No, entre otras cosas, porque Quintana Roo y Cancún en especial le aportaron mucho a México en los momentos más difíciles, más críticos.",apoyo
"Cuando no había trabajo en ningún estado del sureste, cuando prevalecía la desolación del modelo neoliberal, que la gente tenía que irse del país a buscarse la vida a Estados Unidos, muchos mexicanos del sureste, inclusive hasta de la Ciudad de México, se fueron allá, porque allá había crecimiento por el turismo, y allá salieron adelante; entonces, cómo les vamos a cobrar por el uso del puente. Pero así en muchas otras obras.",exterior
"Esa ampliación de la carretera de Chihuahua a Guaymas, pues no va a ser de paga, y así muchas otras obras. Pero sí voy a ir a Sonora.",apoyo
"Nuestro propósito es decir: nos gustaría —como se dice en las cartas, en los oficios— si para ello no tiene inconveniente, tratar estos temas respetuosamente. Haciendo la aclaración que nosotros estamos desde luego abiertos a atender cualquier tema planteado por el presidente Biden.",exterior
"Son bienvenidos el presidente Biden y el primer ministro Trudeau. Y con el presidente Biden tenemos muy buena relación. Y estoy seguro que van a ser muy buenos los resultados del encuentro, diría trascendentes, pero hasta ahí nada más.",exterior
"Cada vez que hay una transformación, hay una nueva Constitución, me refiero a una Constitución federal, no a las constituciones conservadoras, centralistas: después de la Independencia se elabora la Constitución de 1824 para normar el desarrollo de la primera República del país; durante el movimiento de Reforma surge la Constitución de 1857, es una Constitución liberal; después de la Revolución, que es la tercera transformación de México, en 1917, se elabora la Constitución vigente de 1917.",opinion
"Entonces, escogimos como 10 reformas muy importantes, nos quedaron pendientes otras. Pero, por ejemplo, se logró aprobar de que las Fuerzas Armadas nos ayudaran en tareas de seguridad pública, eso era indispensable. Imagínense cómo íbamos a enfrentar el problema de la inseguridad, de la violencia, creciendo como lo recibimos, con una Policía Federal echada a perder, con 40 mil elementos, contando con las Fuerzas Armadas, pero sin poder utilizarlas en lo que más le importa a la gente: la seguridad pública.",seguridad
"Entonces, afortunadamente se llevó a cabo la reforma constitucional, se creó la Guardia Nacional y ahora de esos 40 mil elementos de la Policía Federal, que realmente eran 20 mil los operativos, sin cuarteles, con mucha indisciplina y corrupción, ahora tenemos una Guardia Nacional con 128 mil.",seguridad
" Doscientos cincuenta, fíjense el cambio; pero, además, trabajando juntos. Antier que hubo este motín en Ciudad Juárez, si no es por la Guardia Nacional, por la Defensa, ¿cómo se enfrenta? Entonces, esa fue una buena reforma, importante, claro.",seguridad
"La segunda que yo considero muy importante, la revocación del mandato, que ya se llevó a cabo, ya está el precedente, para que, si el presidente es electo por seis años, pero a la mitad las cosas no funcionan y la gente dice: ‘No estoy de acuerdo con lo que está pasando’, porque el pueblo pone y el pueblo quita, esa es la democracia, consulta: ‘¿quieres que continúe el presidente o que se vaya?’",opinion
"Porque lo que contaba antes era nada más la democracia representativa, no la democracia participativa, esa que consiste en que el pueblo en todo momento tiene el derecho de cambiar la forma de su gobierno. El pueblo manda, el pueblo es el soberano. ‘Yo te puse, pero no estuviste a la altura, yo te quito’. Esa fue una segunda reforma importante.",opinion
"La tercera reforma importante es que ya no hay fuero para el presidente. Llevaba como siglo y medio que al presidente sólo se le podía juzgar por traición a la patria, y ahora se le puede juzgar por cualquier delito, como a cualquier otro ciudadano.",seguridad
"Otra reforma importantísima, que ya se convirtió en delito grave la corrupción, que no lo era; o sea, que el que robaba podía salir bajo fianza.",seguridad
"Yo les he dado a conocer, nada más que no sale en los periódicos, de que cuando gobernó Salinas modificó el Código Penal para que la corrupción no se considerara como delito grave, y ahora sí es delito grave.",competencia
"También estaba considerado como delito grave y además con prisión preventiva los delitos fiscales, pero esa reforma la modificaron en la Suprema Corte de Justicia y ahí la maestra, la abogada Piña votó para que se quitara, y así otros. Pero, digo, yo no estoy aquí para hacerle ningún cuestionamiento.",seguridad
"También votaron para que no se aplicara el artículo 127 y que nadie ganara más que el presidente de la República, eso también con amparos lo echaron para atrás y sigue ganando un ministro pues tres veces más que lo que gana el presidente.",competencia
"La que más me complace de todas fue el que logramos que la pensión a los adultos mayores, la pensión a niñas, a niños con discapacidad, y las becas para estudiantes de familias pobres sean un derecho constitucional; o sea, se elevó a rango constitucional lo de las pensiones y ahí sí venga quien venga, esté quien esté, no va a poder dejar de entregar las pensiones a los adultos mayores.",apoyo
"Y además algo también importantísimo, porque puede estar el enunciado como un principio en la Constitución, pero pueden alegar de que no hay presupuesto, y en el caso de esta reforma se logró que en un transitorio se estableciera que año con año tenía que aumentar el presupuesto para las pensiones, para las becas de estudiantes pobres, y para las personas con discapacidad.",economia
"Lo electoral, que quedó ahí pendiente, porque la ley electoral que se aprobó tiene que ver sólo con cuestiones administrativas, no con el fondo, porque el bloque conservador no quiso que se redujera el número de diputados, como lo estábamos proponiendo, de 500 a 300. No quiso quitar a los plurinominales, no quiso reducir el presupuesto en 10 mil millones de pesos del INE, no quiso que los consejeros del INE en vez de que los elijan los partidos los elija el pueblo, pero eso ya queda pendiente.",competencia
"Entonces, ya, la verdad, no tenemos nada que temer en cuanto a que bloquee el Poder Judicial, si esa fuese su intención, que no creo que estén pensando en frenar la transformación; pero si fuese esa su intención, no pasaría absolutamente nada, porque nosotros seguimos haciendo justicia.",competencia
"Ayer lo decía yo, hacer justicia es devolverles 30 mil hectáreas a los yaquis; hacer justicia es que todos los adultos mayores del país tengan una pensión; hacer justicia es que tengan pensión todos los discapacitados; hacer justicia es que se apoye a los productores del campo; hacer justicia es que se entreguen 11 millones de becas a estudiantes pobres, y eso lo vamos a seguir haciendo, eso no nos lo pueden impedir.",apoyo
" No, nada absolutamente, no le corresponde, tendrían que modificar la Constitución y eso lo tendría que hacer el bloque conservador en el Congreso, y para eso también se requiere tener mayoría y no la tienen; o sea, tienen mayoría para bloquear, pero no para cambiar las leyes.",competencia
"Ah, una que es buenísima, de primera, que no sé cómo no se dieron cuenta o no pudieron, los agarramos como dormidos, pero fue buenísima la reforma al artículo 28 de la Constitución para no permitir la condonación de impuestos, esa fue clave. Porque imagínense cuánto dinero se dejaba de recibir en la hacienda pública porque se condonaban los impuestos, no pagaban impuestos los potentados, esa es la gran reforma.",apoyo
"Imagínense cuánto ingresa ahora. Les estoy hablando de operaciones que llevaban a cabo. Por ejemplo, cuando venden Banamex a Citigroup, tenían que haber pagado 12 mil millones de pesos de impuestos, y no pagaron nada.",economia
"Ahora que una parte de Televisa se vende a Univisión, creo que pagaron —¿no pones la gráfica de inversión extranjera?, y además agradecerles que ya entendieron, en este caso Televisa y muchos otros— creo que como ocho o 10 mil millones de impuestos.",economia
"Los Oxxos como 12 mil millones, Walmart también como 12, 14 mil millones, y antes no pagaban nada. Pero esto fue por la reforma.",economia
"Acaba de vender una planta Bimbo, lo único que sé es que son las Paletas Payaso.",economia
" Ricolino, sí. Hay que tener mucho cuidado con… Bueno, no, eso no lo digo. Seis mil millones de impuesto pagaron la familia Servitje, un poquito más de seis mil por esa planta.",economia
"Pues por eso no tenemos que aumentar impuestos, ni hay gasolinazos, ni tenemos que endeudar al país. Eso sí los tiene un poquito enojados, pero cosa de nada, algunos, algunos. Porque no es el que no pagaran impuestos, es que vivían además en un mundo de hipocresías hablando de que el problema de país era que los vendedores ambulantes no pagaban impuestos, que los que se dedicaban a la economía informal no pagaban impuestos.",economia
"Cómo mintieron con eso, era una cantaleta: ‘El problema de México es que es muy baja su recaudación si se compara con Chile, si se compara con Brasil, si se compara con España, si se compara con Alemania, es muy poco lo que se recauda porque no se cobra impuestos a la economía informal’, a la gente que se busca la vida como puede, cuando el problema era que no pagaban los grandes, los bancos, las grandes empresas.",economia
" Ah, 10 mil millones. Ese era el problema, pero a muchos, a los que son muy susceptibles de manipulación, los tenían convencidísimos con eso, y todavía puede ser que hay quienes sigan pensando en lo mismo.",economia
"Era como lo otro, la mentira de que si aumentaban los salarios se incrementaba la inflación y que por lo mismo no aumentaban los salarios, se aventaron 30 años así con esa mentira, 30 años.",economia
"Otra mentira, esto de un secretario de Hacienda, que si subían el precio de la gasolina no afectaba porque la mayoría de la gente no tenía automóvil, no usaba gasolina. Una eminencia de estas. Y así muchísimas mentiras, pero, bueno.",economia
"Dicen: ‘¡Plagio!’ Ojalá y los problemas de México fuesen por plagio; los problemas de México son por robo. Y todos los que dicen ‘¡plagio!’, o se quedan callados ante los robos o se han quedado callados ante los robos, o ante la corrupción, nada más que si no les parece algo y más si se trata de perjudicarnos a nosotros, inmediatamente se enfilan. No tienen escrúpulos morales de ninguna índole, los conservadores son muy corruptos y muy hipócritas, pero también vivimos en una democracia y somos libres.",competencia
"Y no somos iguales, eso es lo que no van a entender, porque no les conviene, nuestros adversarios, que si tenemos autoridad moral vamos a tener autoridad política. Hay otras maneras de decirlo, pero no tiene caso.",competencia
" Sí, sí, sí, además es deshonestidad, pero a lo que voy es que el que acusa de plagio o los que acusan de plagio están metidos en la corrupción o avalaron la corrupción o viven de la corrupción. Aquí es aplicable aquello de que el que esté libre de pecado que tire la primera piedra, pero como son muy hipócritas, son finísimas personas, se les olvida todo. El increíble el cinismo, el cretinismo. Pero, repito, somos libres y lo más importante de todo es que hay un pueblo muy consciente, un pueblo que es mucha pieza.",competencia
"Además, no pueden los medios de información, están moralmente derrotados, igual que el conservadurismo, con honrosas excepciones, pero ellos se lo buscaron porque están metidos en la desinformación, es el hampa del periodismo bajo la consigna de que la calumnia, cuando no mancha, tizna. No cambian en nada.",competencia
"Y sí hay honrosas excepciones, tan es así que por eso no han podido con nosotros y se desesperan.",competencia
"Pero ¿dónde está la credibilidad de los medios? La credibilidad que tenía antes Proceso, ¿dónde quedó?, o sea, por lo mismo. La credibilidad del Reforma, no hay un solo escritor articulista en Reformaobjetivo, todos entregados por entero a la mentira, todos, programas de radio, de televisión. Y no sólo es México, ¿eh?, es lamentablemente en la mayoría de los países del mundo, es el poder mediático.",competencia
"Por ejemplo, la pregunta que ella me hace, que tiene que ver con la mala leche de los editores de Proceso, sobre Segalmex.",competencia
" Ah, ‘es que viene ahora un tribunal, sí, y va a descubrir la gran corrupción en el gobierno que tiene que ver con Segalmex y que va a afectar al presidente’. No, no, porque yo no soy corrupto, tan sencillo como eso.",competencia
"Entonces, llevo años luchando por mis ideales y lo que considero más importante en mi vida es mi honestidad. Entonces, qué me van a hacer con una denuncia de Segalmex.",competencia
"Yo di la instrucción de que se presentara la investigación, la denuncia y que se fuese a fondo. Pero no sólo eso, no le permito la corrupción a nadie, ni a mis familiares. Por eso ese periodismo amarillista de ahora de Proceso, pues no hace mella. Pero ustedes no van a cambiar porque ya ustedes tienen una definición que tiene que ver con apoyar al bloque conservador.",competencia
" Se está avanzando con la Subsecretaría de Gobernación, Alejandro Encinas, y se está buscando resolver esto.",competencia
"Y hay presupuesto suficiente, siguen las búsquedas, es un tema prioritario, fundamental, que tiene que ver con la preocupación de familiares, es algo muy humano y se está atendiendo.",apoyo
" Lo está viendo la Secretaría de Gobernación, lo está viendo Alejandro Encinas, y a quien corresponda. Hay que hacerlo, o sea, nada humano nos debe ser ajeno, nada humano. O sea, nosotros estamos aquí por ideales, por principios, estamos aquí porque luchamos por la justicia, por la igualdad, no estamos aquí para servir a grupos de poder económicos o autoritarios, estamos aquí porque nos eligió el pueblo para ayudar al pueblo.",opinion
" Sí, sí, sí, todo lo que tiene que ver con justicia va a avanzar muchísimo, mucho, mucho, como nunca. Puede ser una obra material se nos quede pendiente o esto que hablábamos de la reforma al Poder Judicial, que hace falta, pero que tiene que hacerlo de manera autónoma.",seguridad
"Ya les he platicado de cómo cuando Fox quiso desaforarme mandó a hablar al presidente de la Corte y echaron a andar la denuncia en mi contra, y todos los ministros aplaudiendo mi desafuero y hasta publicaron un manifiesto, y así siempre.",competencia
"No, por eso celebro el que haya independencia, división y equilibrio de poderes, eso no había antes. Ya les he dicho, el poder de los poderes era el Ejecutivo. ¿O ustedes se acuerdan de que hubo un tiempo que fue distinto?",competencia
"¿Quién mandaba cuando Echeverría mandaba a los ministros de la Corte o López Portillo, con Miguel de Madrid, con Salinas? ¿Eran independientes con Zedillo? Bueno, Zedillo los desapareció, hizo una reforma. ¿Con Fox, con Calderón?",competencia
"¿Qué, no se informó de cuando declaró el actual presidente de la Corte, bueno, el que estaba de presidente de la Corte, Arturo Zaldívar, de que lo amenazó Calderón o lo mando amenazar Calderón?",competencia
"Está haciendo cosas desde ayer muy importantes, está dando marcha atrás a las privatizaciones que se habían hecho, hasta del petróleo de Brasil, y está tomando decisiones importantes. Y es un buen gobernante, tiene mucha experiencia, tiene reconocimiento mundial.",exterior
"Y Brasil siempre ha buscado relaciones con Asia, con Europa y también con América Latina y con Estados Unidos y Canadá, ha optado por la diversidad en materia de política exterior.",exterior
"Nosotros lo que estamos planteando es la unión de todos los países de América, el sueño de Bolívar, pero considerando a Estados Unidos y Canadá, juntos toda la América, todo el continente americano, eso es lo que estamos planteando, porque consideramos que ya es y sería con más fuerza la región más importante del mundo, tenemos un gran potencial.",exterior
"Entonces, que la integración, y esa es la propuesta que nosotros tenemos, no se quede nada más en América del Norte. O sea, ya con el tratado hemos confirmado que funciona la integración, desde luego con respeto a nuestras soberanías, pero funciona el unirnos, el articularnos, pero no quedarnos en eso, sino buscar la unidad de toda América.",exterior
Ya la relación comercial en el mundo empieza a estar más dominada por Asia y si no hacemos nada nos vamos a quedar rezagados.,exterior
" No, no estoy de acuerdo en eso; habría que ver qué es lo que plantea. No lo había escuchado, el presidente Lula, que es, insisto, muy inteligente, muy buen político, muy buen gobernante y además sensible, sensible, defensor de los pobres, pero no había escuchado eso.",exterior
"Se está hablando mucho, por ejemplo, de la integración de Asia con el mundo árabe y se está hablando de una moneda, o sea, que no sea precisamente el dólar. Nosotros no estamos planteando el que se sustituya al dólar, nosotros lo que estamos buscando es que se integren más las economías de los países del continente americano, que nos integremos más, y que esto vaya de la mano de dos cambios importantes:",exterior
"Uno, que se promueva el desarrollo de todos los países del continente americano. Que, así como en su momento hubo la llamada Alianza para el Progreso y se invirtieron en aquel entonces alrededor de 10 mil millones de dólares para apoyar a países de América Latina y el Caribe, que se haga algo ahora parecido, porque no vamos a poder resolver los problemas migratorios si sigue habiendo tanta desigualdad en el continente americano. Entonces, tiene que haber un plan de desarrollo para apoyar a todos los países de América Latina y el Caribe.",exterior
"Y lo segundo es que debe de cambiar la política intervencionista. Ya no la doctrina Monroe, ya no la decisión de intervenir y bloquear y querer tener un país predominio de toda América; respetar la autonomía y la autodeterminación de los pueblos. Es un cambio importantísimo, son 200 años de esa política, eso es lo que estamos planteando, son tres cosas: integración económica, apoyo a países pobres del continente americano e independencia y respeto a las soberanías de todos los pueblos. Ese es el planteamiento.",exterior
"Lo de la moneda, no conozco bien qué esté proponiendo el presidente Lula. Y siento además que, pues son procesos, pero ya no darle la espalda a América Latina y al Caribe, o sea, que no estemos pensando nada más en América del Norte, sino que pensemos en Centroamérica y en toda América, nuestro continente.",exterior
"La postura nuestra fue desde el principio que serían los mexicanos los que iban a decidir con su voto si querían o no que se enjuiciara a los expresidentes. Y se llevó a cabo una consulta. Aunque la mayoría votó para que se enjuiciara a los expresidentes de acuerdo a la ley, no se llegó al porcentaje requerido, por eso la consulta no fue vinculatoria.",competencia
"Y nosotros no hemos iniciado ninguna investigación contra el expresidente, pero, además, desde que tomé posesión aclaré de que yo era partidario de ver hacia adelante, que lo más importante es la no repetición.",competencia
"La justicia también es prevenir, la justicia también es el estigmatizar la corrupción, porque antes ni siquiera perdían su respetabilidad los corruptos. Entonces, lo que hemos venido haciendo es no permitir la corrupción y les puedo decir, miren, pañuelito blanco, aquí está; a cuatro años no se permiten negocios al amparo del poder público, como era antes.",seguridad
"Entonces, eso es lo más importante. Y no perseguir a nadie, sólo que haya un juicio, una demanda. Existe ahora lo del juicio de García Luna, que ya va a iniciar, eso lo presentaron los estadounidenses, y ojalá y sepamos todo, la vida pública tiene que ser cada vez más pública y una regla de oro de la democracia, y esto debe saberse en México y en Estados Unidos y en el mundo, una regla de oro de la democracia es la transparencia. ¡Cómo ocultar información!",seguridad
"¿Se acuerdan cómo era antes, de que se declara confidencial? Apenas y se están desclasificando informes del asesinato del presidente Kennedy. ¿Cómo? ¿Dónde está la democracia, si no hay transparencia? Que se sepa todo, hay que subir toda la información, todos los expedientes al internet, a las redes.",exterior
"Por eso lo que hizo Assange. Queremos la libertad de Assange. Imagínense lo que ayudó. ¿Por qué los secretos? Puede ser que haya cosas así, que valga llamarles secretos de Estado o razón de Estado, pero solo cuestiones muy graves para la humanidad, pero lo demás debe de saberse todo.",exterior
"Bueno, pues vamos a informar, como todos los miércoles, sobre quién es quién en las mentiras. Es una mínima parte, muy poquito, ni siquiera llega a botón de muestra para todo el bombardeo de mentiras de la guerra sucia que han echado a andar los del bloque conservador con sus medios de desinformación. Pero, bueno, para tener una idea y no dejar de ejercer el derecho de réplica, vamos a que Elizabeth nos dé la información.",competencia
"Y luego, algo muy importante, mucho muy importante, sobre todo para los productores. Como decía el maestro Pellicer, que coman los que nos dan de comer, lo campesinos. Se va a explicar sobre el programa de Fertilizantes para el Bienestar, porque se va a ampliar, va a ser fertilizante gratuito para dos millones de productores, sobre todo para campesinos con pocas hectáreas, algunos que siembran media hectárea, una hectárea, dos hectáreas, otros más; pero para ellos, el fertilizante gratuito.",apoyo
"Y es muy importante porque, además del autoconsumo, la economía campesina es fundamental. Se siembra el maíz, que es una planta bendita que se da en todos lados, en la costa, en la sierra, en clima frio, en clima caliente, en la montaña, en los valles, y se hacen como 600 alimentos del maíz.",economia
